id,name,album,album_id,artists,artist_ids,track_number,disc_number,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,year,hit,year_hit
0JXXNGljqupsJaZsgSbMZV,Sure Thing,All I Want Is You,493HYe7N5pleudEZRyhE7R,Miguel,360IAlyVv4PCEVjgyMZrxK,1,1,FALSE,0.684,0.607,11,-8.127,0,0.1,0.0267,3.07e-4,0.191,0.498,81.001,195373,4,2010,1,2011
0laYHRpNTS6i8FXdupHkJ4,Love You Like A Love Song,When The Sun Goes Down,49yHvRh1cOfLcEKukEP7Ox,Selena Gomez & The Scene,6dJeKm76NjfXBNTpHmOhfO,1,1,FALSE,0.858,0.678,1,-3.87,0,0.0469,0.0761,0,0.0741,0.922,117.009,188453,4,2011,1,2011
0obBFrPYkSoBJbvHfUIhkv,Sexy And I Know It,Sorry For Party Rocking (Deluxe Version),5EuNq3rYUESwy6Vcsz2PZe,LMFAO,3sgFRtyBnxXD5ESfmbK4dl,4,1,FALSE,0.707,0.861,7,-4.225,1,0.316,0.1,0,0.191,0.795,130.021,199480,4,2011,1,2011
0PgNhIg5n0UAOBVn43b8b6,The Adventures of Rain Dance Maggie,I'm with You,5wZtSIvijWCMc1vlPFqAyB,Red Hot Chili Peppers,0L8ExT028jH3ddEcZwqJJ5,7,1,TRUE,0.683,0.734,4,-4.523,0,0.029,0.00112,0.0139,0.258,0.576,106.254,282400,4,2011,1,2011
0qOnSQQF0yzuPWsXrQ9paz,Stereo Hearts (feat. Adam Levine),The Papercut Chronicles II,2mumCpGmuE9iDeOvMx6XrB,"Gym Class Heroes, Adam Levine","4IJczjB0fJ04gs4uvP0Fli, 4bYPcJP5jwMhSivRcqie2n",4,1,FALSE,0.646,0.795,9,-3.293,1,0.0976,0.0319,0,0.267,0.796,89.99,210960,4,2011,1,2011
0R7YVi7w41Dr9jU5vblAok,Sweat - Remix,Sweat (Snoop Dogg Vs. David Guetta) [Remix],7i3ZUKLj6bszovw4IfRECy,"Snoop Dogg, David Guetta","7hJcb9fa4alzcOq3EaNPoG, 1Cs0zKBU1kc0i8ypK3B9ai",1,1,FALSE,0.813,0.732,7,-5.636,1,0.03,0.0597,0.00137,0.0826,0.731,130.02,195987,4,2011,1,2011
0U10zFw4GlBacOy9VDGfGL,We Found Love,Talk That Talk,1Kw1bVd07oRqcjrcjQKC8T,"Rihanna, Calvin Harris","5pKCCKE2ajJHZ9KAiaK11H, 7CajNmpbOovFoOoasH2HaY",3,1,FALSE,0.735,0.766,1,-4.485,1,0.0383,0.025,0.00138,0.108,0.6,127.985,215227,4,2011,1,2011
0x3TibRgnSqzkcwrqBd4iX,Down On Me,All About You,3sGj0fBj5EJbewKgCWA1uD,"Jeremih, 50 Cent","3KV3p5EY4AvKxOlhGHORLg, 3q7HBObVc0L8jNeTe5Gofh",3,1,FALSE,0.7,0.598,2,-7.783,1,0.114,0.0369,0,0.111,0.594,160.041,228453,4,2010,1,2011
16Of7eeW44kt0a1M0nitHM,You Make Me Feel... (feat. Sabi),Night Shades,5gXDrzBIzmAhiE0dNKwy0i,"Cobra Starship, Sabi","2aYJ5LAta2ScCdfLhKgZOY, 3tB8VKd0rtEnc9x8l78ymo",2,1,FALSE,0.668,0.857,7,-2.944,0,0.0535,0.0191,6.71e-6,0.0385,0.748,131.959,215693,4,2011,1,2011
1c8gk2PeTE04A1pIDH9YMk,Rolling in the Deep,21,0Lg1uZvI312TPqxNWShFXL,Adele,4dpARuHxo51G3z768sgnrY,1,1,TRUE,0.73,0.769,8,-5.114,1,0.0298,0.138,0,0.0473,0.507,104.948,228093,4,2011,1,2011
1ExfPZEiahqhLyajhybFeS,The Lazy Song,Doo-Wops & Hooligans,1uyf3l2d4XYwiEqAb7t7fX,Bruno Mars,0du5cEVh5yTK9QJze8zA0C,5,1,FALSE,0.794,0.711,8,-5.124,0,0.0699,0.3,0,0.0955,0.955,174.915,189109,4,2010,1,2011
1eyzqe2QqGZUmfcPZtrIyt,Midnight City,"Hurry Up, We're Dreaming",6R0ynY7RF20ofs9GJR5TXR,M83,63MQldklfxkjYDoUE4Tppz,2,1,FALSE,0.526,0.712,11,-6.525,0,0.0356,0.0161,0,0.179,0.32,105.009,241440,4,2011,1,2011
1f8UCzB3RqIgNkW7QIiIeP,Heart Skips a Beat (feat. Rizzle Kicks),In Case You Didn't Know,2OvZ8JCShhvxNkptwoGjve,"Olly Murs, Rizzle Kicks","3whuHq0yGx60atvA2RCVRW, 2ajhZ7EA6Dec0kaWiKCApF",1,1,FALSE,0.843,0.881,9,-3.951,1,0.0581,0.14,0,0.0765,0.876,110.621,202267,4,2011,1,2011
1Fxp4LBWsNC58NwnGAXJld,Down With The Trumpets,Stereo Typical,7dn5EHt0T7jdPf4q0ljrmp,Rizzle Kicks,2ajhZ7EA6Dec0kaWiKCApF,4,1,FALSE,0.753,0.88,4,-4.689,0,0.0806,0.087,0,0.24,0.794,115.057,186851,4,2011,1,2011
1gv4xPanImH17bKZ9rOveR,Raise Your Glass,Raise Your Glass,3uQMzfrf4kUNGsCtmTtjPh,P!nk,1KCSPY1glIKqW2TotWuXOR,1,1,TRUE,0.7,0.709,7,-5.006,1,0.0838,0.0048,0,0.029,0.624,122.019,202960,4,2010,1,2011
1PAYgOjp1c9rrZ2kVQg2vN,Changed the Way You Kiss Me - Radio Edit,Playing In The Shadows,0oxZteBM3NJPbNnBMLjPhN,Example,6Vh6UDWfu9PUSXSzAaB3CW,3,1,FALSE,0.578,0.857,4,-3.78,0,0.041,0.00548,0.00162,0.0948,0.188,126.979,195467,4,2011,1,2011
1r3myKmjWoOqRip99CmSj1,Don't Wanna Go Home,Future History (Deluxe Edition),31tCg5RXhY5jpagfCPcQa2,Jason Derulo,07YZf4WDAMNwqr4jfgOZ8y,1,1,FALSE,0.671,0.808,2,-4.861,0,0.0652,0.02,0,0.134,0.637,121.956,206080,4,2011,1,2011
1tAutlhI9FwnKn7fVgmd5P,Without You (feat. Usher),Nothing but the Beat 2.0,5aprcHwM1KJhaY9Kbxkfkn,"David Guetta, USHER","1Cs0zKBU1kc0i8ypK3B9ai, 23zg3TcAtWQy7J6upgbUnj",4,1,FALSE,0.608,0.614,2,-3.727,1,0.0285,0.227,3.82e-6,0.157,0.402,127.885,208133,4,2011,1,2011
1VdZ0vKfR5jneCmWIUAMxK,The A Team,+,0W5GGnapMz0VwemQvJDqa7,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,1,1,FALSE,0.642,0.289,9,-9.918,1,0.0367,0.669,0,0.18,0.407,84.996,258373,4,2011,1,2011
1z6WtY7X4HQJvzxC4UgkSf,Love On Top,4,1gIC63gC3B7o7FfpPACZQJ,Beyoncé,6vWDO969PvNqNYHIOW5v0m,1,1,FALSE,0.652,0.749,0,-5.248,1,0.0886,0.0848,0,0.604,0.651,94.103,267413,4,2011,1,2011
1zwMYTA5nlNjZxYrvBB2pV,Someone Like You,21,0Lg1uZvI312TPqxNWShFXL,Adele,4dpARuHxo51G3z768sgnrY,11,1,FALSE,0.556,0.319,9,-8.251,1,0.0281,0.893,0,0.0996,0.294,135.187,285240,4,2011,1,2011
22L7bfCiAkJo5xGSQgmiIO,All Of The Lights,My Beautiful Dark Twisted Fantasy,20r762YmB5HeofjMCiPMLv,Kanye West,5K4W6rqBFWDnAN6FQUkS6x,5,1,TRUE,0.531,0.803,1,-3.284,1,0.0717,0.0796,1.71e-5,0.176,0.221,142.113,299613,4,2010,1,2011
22PMfvdz35fFKYnJyMn077,Marry You,Doo-Wops & Hooligans,1uyf3l2d4XYwiEqAb7t7fX,Bruno Mars,0du5cEVh5yTK9QJze8zA0C,6,1,FALSE,0.621,0.82,10,-4.865,1,0.0367,0.332,0,0.104,0.452,144.905,230192,4,2010,1,2011
2Adn2LNgkHMH5TelQVAu4n,Pretty Girl Rock,No Boys Allowed,7lRRlf0zRaSki9s3YVRHcZ,Keri Hilson,63wjoROpeh5f11Qm93UiJ1,2,1,FALSE,0.666,0.87,11,-5.004,0,0.246,0.203,0,0.0851,0.9,160.014,243920,4,2010,1,2011
2i0AUcEnsDm3dsqLrFWUCq,Tonight Tonight,Whatever,0UkgnXc0w7qiRE2X086BdN,Hot Chelle Rae,6jTnHxhb6cDCaCu4rdvsQ0,2,1,FALSE,0.686,0.783,4,-4.977,1,0.119,0.0764,0,0.163,0.814,99.978,200467,4,2011,1,2011
2OXidlnDThZR3zf36k6DVL,Just A Kiss,Own The Night,2OecGqWoNWvW2VH4HUixjo,Lady A,32WkQRZEVKSzVAAYqukAEA,2,1,FALSE,0.593,0.639,1,-5.826,1,0.0307,0.446,0,0.0998,0.332,142.881,218840,4,2011,1,2011
2QtxlzvSBONjs1bDC34ixs,Yeah 3x,F.A.M.E. (Expanded Edition),6df0qvkMXoyHGt9J8cujZb,Chris Brown,7bXgB6jMjp9ATFy66eO08Z,7,1,TRUE,0.705,0.882,11,-3.201,0,0.0445,3.69e-4,1.16e-6,0.0934,0.7,130,241667,4,2011,1,2011
2qYsSHsYkihWx043HVJQRV,Dirt Road Anthem,My Kinda Party,6gYk1JlSSmlUZGs1Lef1BI,Jason Aldean,3FfvYsEGaIb52QPXhg4DcH,2,1,FALSE,0.68,0.741,2,-5.055,1,0.0357,0.347,1.87e-6,0.117,0.635,127.024,229400,4,2010,1,2011
2tJulUYLDKOg9XrtVkMgcJ,Grenade,Doo-Wops & Hooligans,1uyf3l2d4XYwiEqAb7t7fX,Bruno Mars,0du5cEVh5yTK9QJze8zA0C,1,1,FALSE,0.704,0.558,2,-7.273,0,0.0542,0.148,0,0.107,0.245,110.444,222091,4,2010,1,2011
2TUzU4IkfH8kcvY2MUlsd2,I Won't Let You Go,The Awakening,7poZ9Yjx1nBxpTrUAm7feN,James Morrison,3LpLGlgRS1IKPPwElnpW35,3,1,FALSE,0.537,0.611,0,-6.427,1,0.0304,0.229,0,0.146,0.161,105.955,229303,4,2011,1,2011
2U8g9wVcUu9wsg6i7sFSv8,Every Teardrop Is a Waterfall,Mylo Xyloto,2R7iJz5uaHjLEVnMkloO18,Coldplay,4gzpq5DPGxSnKTe4SA8HAU,7,1,FALSE,0.425,0.732,9,-6.883,1,0.0396,0.00194,0.0103,0.171,0.333,117.98,240796,4,2011,1,2011
2z4U9d5OAA4YLNXoCgioxo,What the Hell,Goodbye Lullaby (Expanded Edition),1COPJyU2PpM2Itcob3vhFF,Avril Lavigne,0p4nmQO2msCgU4IF37Wi3j,2,1,FALSE,0.578,0.926,6,-3.689,0,0.0548,0.00472,0.0127,0.14,0.877,149.976,220707,4,2011,1,2011
35KiiILklye1JRRctaLUb4,Holocene,Bon Iver,2LpfNj3vB5rOXfaawLcOBg,Bon Iver,4LEiUm1SRbFMgfqnQTwUbQ,3,1,FALSE,0.374,0.304,1,-14.52,1,0.0302,0.943,0.298,0.126,0.147,147.969,336613,4,2011,1,2011
36cmM3MBMWWCFIiQ90U4J8,Bounce (feat. Kelis) - Radio Edit,18 Months,7w19PFbxAjwZ7UVNp9z0uT,"Calvin Harris, Kelis","7CajNmpbOovFoOoasH2HaY, 0IF46mUS8NXjgHabxk2MCM",2,1,FALSE,0.779,0.963,2,-2.125,0,0.0399,0.0334,0.493,0.664,0.759,127.941,222187,4,2012,1,2011
36ux3YuUsGTWPT8fXclS45,E.T.,Teenage Dream: The Complete Confection,5BvgP623rtvlc0HDcpzquz,"Katy Perry, Kanye West","6jJ0s89eD6GaHleKKya26X, 5K4W6rqBFWDnAN6FQUkS6x",17,1,FALSE,0.62,0.869,1,-5.252,1,0.175,0.0181,0,0.369,0.76,151.684,229573,4,2012,1,2011
38iU2jg98IZZEIJPrP7aWD,Till the World Ends,Femme Fatale (Deluxe Version),0oFBaXLFsUVa2gEmJf4FcJ,Britney Spears,26dSoYclwsYLMAKD3tpOr4,1,1,FALSE,0.693,0.705,8,-5.747,1,0.0665,0.0228,0,0.202,0.45,131.951,237947,4,2011,1,2011
3C0nOe05EIt1390bVABLyN,On The Floor,Love?,3sysiYphqNRQw7VKLCg1yE,"Jennifer Lopez, Pitbull","2DlGxzQSjYe5N6G9nkYghR, 0TnOYISbd1XYRBk9myaseg",1,1,FALSE,0.73,0.777,3,-5.194,0,0.0496,0.105,4.78e-4,0.0691,0.575,130,284867,4,2011,1,2011
3hlksXnvbKogFdPbpO9vel,Super Bass,Pink Friday (Complete Edition),7aADdYLiK1z7GlMFr0UIZw,Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,14,1,TRUE,0.723,0.86,11,-4.357,1,0.203,0.271,4.56e-6,0.598,0.667,126.979,200013,4,2010,1,2011
3hsmbFKT5Cujb5GQjqEU39,Look At Me Now (feat. Lil' Wayne & Busta Rhymes),F.A.M.E. (Expanded Edition),6df0qvkMXoyHGt9J8cujZb,"Chris Brown, Lil Wayne, Busta Rhymes","7bXgB6jMjp9ATFy66eO08Z, 55Aa2cqylxrFIXC767Z865, 1YfEcTuGvBQ8xSD1f53UnK",4,1,TRUE,0.767,0.677,11,-6.128,0,0.184,0.0339,5.51e-6,0.144,0.538,146.155,222587,4,2011,1,2011
3JA9Jsuxr4xgHXEawAdCp4,Just Can’t Get Enough,The Beginning,3IpexNXiKbezuY526S4Jvy,Black Eyed Peas,1yxSLGMDHlW21z4YXirZDS,11,1,FALSE,0.659,0.628,0,-8.685,0,0.179,0.186,0,0.105,0.262,94.05,219427,4,2010,1,2011
3lBRNqXjPp2j3JMTCXDTNO,Best Thing I Never Had,4,1gIC63gC3B7o7FfpPACZQJ,Beyoncé,6vWDO969PvNqNYHIOW5v0m,12,1,FALSE,0.546,0.649,6,-4.056,1,0.0324,0.143,1.55e-5,0.0894,0.298,99.05,253747,4,2011,1,2011
3LUWWox8YYykohBbHUrrxd,We R Who We R,Cannibal (Expanded Edition),0pGumY11G8OGH05ti6jh23,Kesha,6LqNN22kT3074XbTVUrhzX,2,1,FALSE,0.736,0.817,8,-4.9,1,0.0407,0.00987,0.00167,0.117,0.653,119.95,204760,4,2010,1,2011
3MGJF1CDFGfjXESL2Heva0,F**kin' Perfect,Greatest Hits...So Far!!!,2dpS2uYlkzDsPjl3IZbNjD,P!nk,1KCSPY1glIKqW2TotWuXOR,20,1,TRUE,0.565,0.646,7,-4.749,1,0.0335,0.0412,0,0.362,0.481,91.973,213413,4,2010,1,2011
3nMb7ToWIxYvmaIG20z6ux,Tonight (I'm Fuckin' You),Euphoria,5JNhQFH8HMKQWP4SITzdoc,"Enrique Iglesias, Ludacris, DJ Frank E","7qG3b048QCHVRO5Pv1T5lw, 3ipn9JLAPI5GUEo4y4jcoi, 4yt2wdqvcHygghx9iNUb6i",1,1,TRUE,0.648,0.89,0,-3.982,0,0.0523,0.0294,3.58e-6,0.116,0.321,125.953,232213,4,2010,1,2011
3pYDZTJM2tVBUhIRifWVzI,Blow,Cannibal (Expanded Edition),0pGumY11G8OGH05ti6jh23,Kesha,6LqNN22kT3074XbTVUrhzX,4,1,FALSE,0.753,0.729,11,-3.862,0,0.0392,0.00334,5.66e-5,0.073,0.812,120.013,219973,4,2010,1,2011
3rfhI32Il2hVRKDkuGeeen,Hey Baby (Drop It to the Floor) (feat. T-Pain),Planet Pit (Deluxe Version),4rG0MhkU6UojACJxkMHIXB,"Pitbull, T-Pain","0TnOYISbd1XYRBk9myaseg, 3aQeKQSyrW4qWr35idm0cy",4,1,FALSE,0.595,0.912,10,-3.428,0,0.0884,0.0434,0,0.259,0.762,128.024,234453,4,2011,1,2011
3SxiAdI8dP9AaaEz1Z24mn,Earthquake (feat. Tinie Tempah),Electronic Earth (Expanded Edition),6PBBbXmYV7dKnaik0fjkOI,"Labrinth, Tinie Tempah","2feDdbD5araYcm6JhFHHw7, 0Tob4H0FLtEONHU1MjpUEp",2,1,TRUE,0.54,0.856,0,-3.966,0,0.1,0.109,0,0.276,0.258,153.071,274600,4,2012,1,2011
3TcL0dyCMyr0kyTTc4NLgI,Who Says,When The Sun Goes Down,49yHvRh1cOfLcEKukEP7Ox,Selena Gomez & The Scene,6dJeKm76NjfXBNTpHmOhfO,3,1,FALSE,0.682,0.927,4,-2.915,1,0.0479,0.0843,0,0.149,0.744,101.019,195613,4,2011,1,2011
3zNNXjjjeLrzIXSJZKalDi,I Follow Rivers - The Magician Remix,Wounded Rhymes (Anniversary Edition),19ms2xSmphDqfhx2dp11Tl,"Lykke Li, The Magician","6oBm8HB0yfrIc9IHbxs6in, 4WUGQykLBGFfsl0Qjl6TDM",15,1,FALSE,0.785,0.7,9,-5.81,0,0.0406,0.0179,0.00251,0.0823,0.296,122.031,279636,4,2021,1,2011
455AfCsOhhLPRc68sE01D8,Last Friday Night (T.G.I.F.),Teenage Dream: The Complete Confection,5BvgP623rtvlc0HDcpzquz,Katy Perry,6jJ0s89eD6GaHleKKya26X,2,1,FALSE,0.649,0.815,3,-3.796,0,0.0415,0.00125,4.31e-5,0.671,0.765,126.03,230747,4,2012,1,2011
45sDIKapDyxPl307QpEAwl,Rocketeer,Free Wired,1TuKgkCGIxiIns9Bc5XKRC,"Far East Movement, Ryan Tedder, Ruff Loaderz","698hF4vcwHwPy8ltmXermq, 4we5S2VLjgY9KzIzApL1KI, 5JOIrGvup0vD5VjodB62Ui",3,1,FALSE,0.664,0.845,4,-6.115,0,0.0461,0.181,0,0.267,0.357,96.005,211253,4,2010,1,2011
4bCOAuhvjsxbVBM5MM8oik,When We Stand Together,Here and Now,2gMWwDIxxGIiblnv1pQHyd,Nickelback,6deZN1bslXzeGvOLaLMOIF,3,1,FALSE,0.446,0.9,10,-3.541,0,0.0489,1.02e-4,1.89e-5,0.0404,0.88,187.961,190787,4,2011,1,2011
4fINc8dnfcz7AdhFYVA4i7,It Girl,Future History (Deluxe Edition),31tCg5RXhY5jpagfCPcQa2,Jason Derulo,07YZf4WDAMNwqr4jfgOZ8y,2,1,FALSE,0.668,0.718,1,-4.736,0,0.0605,0.0165,0,0.104,0.345,91.993,192200,4,2011,1,2011
4lY95OMGb9WxP6IYut64ir,Shake It Out,Ceremonials (Deluxe Edition),5SxudoALxEAVh9l83kSebx,Florence + The Machine,1moxjboGR7GNWYIMWsRjgG,2,1,FALSE,0.527,0.804,10,-4.168,1,0.0358,0.0104,0,0.105,0.221,107.486,277720,4,2011,1,2011
4NTWZqvfQTlOMitlVn6tew,The Show Goes On,Lasers,1j0apvEvaWbTmlZpKsfr2D,Lupe Fiasco,01QTIT5P1pFP3QnnFSdsJf,6,1,TRUE,0.591,0.889,7,-3.839,1,0.115,0.0189,0,0.155,0.65,143.067,239613,4,2011,1,2011
4QNpBfC0zvjKqPJcyqBy9W,"Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)",Planet Pit (Deluxe Version),4rG0MhkU6UojACJxkMHIXB,"Pitbull, Ne-Yo, AFROJACK, Nayer","0TnOYISbd1XYRBk9myaseg, 21E3waRsmPlU7jZsS13rcj, 4D75GcNG95ebPtNvoNVXhz, 1ruutHJcECI7cos2n5TqpO",2,1,FALSE,0.671,0.939,8,-3.206,1,0.161,0.191,0,0.298,0.53,129.024,252307,4,2011,1,2011
4r6eNCsrZnQWJzzvFh4nlg,Firework,Teenage Dream,2eQMC9nJE3f3hCNKlYYHL1,Katy Perry,6jJ0s89eD6GaHleKKya26X,4,1,FALSE,0.638,0.832,8,-5.039,1,0.049,0.141,0,0.113,0.648,124.071,227893,4,2010,1,2011
4RL77hMWUq35NYnPLXBpih,Skinny Love,Birdy,1WGjSVIw0TVfbp5KrOFiP0,Birdy,2WX2uTcsvV5OnS0inACecP,2,1,FALSE,0.379,0.29,4,-8.485,1,0.051,0.952,0.00106,0.118,0.169,166.467,201080,4,2011,1,2011
4u26EevCNXMhlvE1xFBJwX,If I Die Young,The Band Perry,3dASAcs9QOsmoSLhHjEhCu,The Band Perry,75FnCoo4FBxH5K1Rrx0k5A,3,1,FALSE,0.606,0.497,4,-6.611,1,0.0277,0.348,0,0.275,0.362,130.739,222773,4,2010,1,2011
53DB6LJV9B8sz0p1s6tlGS,Roll Up,Rolling Papers,6ZOXiVL8rmk2ATHJiFJhiD,Wiz Khalifa,137W8MRPWKqSmrBGDBFSop,4,1,TRUE,0.523,0.805,3,-5.473,1,0.192,0.0524,0,0.0914,0.602,125.358,227773,5,2011,1,2011
5A6OHHy73AR5tLxgTc98zz,Black and Yellow,Rolling Papers,6ZOXiVL8rmk2ATHJiFJhiD,Wiz Khalifa,137W8MRPWKqSmrBGDBFSop,3,1,TRUE,0.684,0.834,2,-4.524,0,0.0675,0.0646,0,0.271,0.538,164.02,217667,4,2011,1,2011
5cCAZS9VhLGEDV4NCfieeg,I Wanna Go,Femme Fatale (Deluxe Version),0oFBaXLFsUVa2gEmJf4FcJ,Britney Spears,26dSoYclwsYLMAKD3tpOr4,4,1,FALSE,0.696,0.546,5,-6.55,1,0.0414,0.00379,3.8e-6,0.332,0.787,130.002,210267,4,2011,1,2011
5mvKuE9Lf9ARVXVXA32kK9,Price Tag,Who You Are (Platinum Edition),3ga4adzUpLaS2LDcoqfs2r,"Jessie J, B.o.B","2gsggkzM5R49q6jpPvazou, 5ndkK3dpZLKtBklKjxNQwT",1,1,FALSE,0.638,0.831,5,-3.944,1,0.182,0.0281,3.06e-6,0.277,0.685,175.038,223053,4,2011,1,2011
5Qy6a5KzM4XlRxsNcGYhgH,6 Foot 7 Foot,Tha Carter IV (Complete Edition),0pFydyko4Iw450abXlDPpp,"Lil Wayne, Cory Gunz","55Aa2cqylxrFIXC767Z865, 7BAaznGSsqcksud4R5ou5z",4,1,TRUE,0.364,0.752,2,-5.429,1,0.304,7e-4,0,0.318,0.606,79.119,248587,4,2011,1,2011
5ubHAQtKuFfiG4FXfLP804,Lego House,+,02pi98kE0nra0yBqCStzbC,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,9,1,FALSE,0.592,0.637,11,-8.48,1,0.0992,0.562,0,0.13,0.565,159.701,185093,4,2011,1,2011
5W7BcYDIaeXnpG3e39T7hJ,How To Love,Tha Carter IV (Complete Edition),0pFydyko4Iw450abXlDPpp,Lil Wayne,55Aa2cqylxrFIXC767Z865,12,1,FALSE,0.644,0.661,11,-6.093,1,0.0418,1.77e-4,5.23e-6,0.108,0.272,153.992,240307,4,2011,1,2011
5yDL13y5giogKs2fSNf7sj,Glad You Came,Battleground (Deluxe Edition),2hnaJ8ktG2FSP1EthsCo6N,The Wanted,2NhdGz9EDv2FeUw6udu2g1,1,1,FALSE,0.722,0.851,7,-3.873,0,0.0639,0.0319,0,0.108,0.452,126.885,197936,4,2011,1,2011
5zpDHEU12zATwLGvozxPw2,Lighters,Hell: The Sequel (Deluxe),5abCMGtyHwpOr9cEbwfP1P,"Bad Meets Evil, Bruno Mars","77IURH5NC56Jn09QHi76is, 0du5cEVh5yTK9QJze8zA0C",7,1,TRUE,0.676,0.695,0,-8.327,1,0.245,0.352,0,0.119,0.144,90.268,303813,4,2011,1,2011
608a1wIsSd5KzMEqm1O7w3,I'm On One,We The Best Forever,7FyxsUO4kVqRfo2ne1aUOg,"DJ Khaled, Drake, Rick Ross, Lil Wayne","0QHgL1lAIqAw0HtD7YldmP, 3TVXtAsR1Inumwj472S9r4, 1sBkRIssrMs1AbVkOJbc7a, 55Aa2cqylxrFIXC767Z865",1,1,TRUE,0.413,0.807,11,-3.499,0,0.318,0.0536,0,0.631,0.438,149.33,296147,4,2011,1,2011
63rbP24OzfaQCJjsHWZXnY,Where Them Girls At (feat. Nicki Minaj & Flo Rida),Nothing but the Beat 2.0,5aprcHwM1KJhaY9Kbxkfkn,"David Guetta, Flo Rida, Nicki Minaj","1Cs0zKBU1kc0i8ypK3B9ai, 0jnsk9HBra6NMjO2oANoPY, 0hCNtLu0JehylgoiP8L4Gh",10,1,TRUE,0.664,0.872,3,-3.117,1,0.0396,0.0306,0,0.228,0.555,129.873,210093,4,2011,1,2011
65hRZOQkVjmBdusz1N7aOv,Save The World,Save The World,728voOLBbJUBgK2vooghcS,Swedish House Mafia,1h6Cn3P4NGzXbaXidqURXs,1,1,FALSE,0.507,0.665,0,-7.598,1,0.0474,0.0144,0,0.0759,0.4,126.879,213338,4,2011,1,2011
